ca,cati,cati_url,endereco,municipio,email,telefone,responsavel,tecnicos,tem_dados
CA de Colina,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Av. Ruy Barbosa, 959 - CEP: 14770-000",Município: Colina,E-mail: ca.colina@cati.sp.gov.br,Telefone: (17) 3341-1290,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
CA de Colômbia,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Rua Josefino da Rocha Ribeiro, nº.611 - CEP: 14795-000",Município: Colômbia,E-mail: ca.colombia@cati.sp.gov.br,Telefone: (17) 3335-1136,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
CA de Conchal,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Rua Visconde de Indaiatuba, nº 219 - CEP: 13835-000",Município: Conchal,E-mail: ca.conchal@cati.sp.gov.br,Telefone: (19) 3866-1261,Responsável: Eng. Agr. IDELBERTO ESCH MIRANDA JUNIOR,"Técnicos: Med. Vet. Mauro Cezar de Almeida (Convênio Prefeitura Municipal), Téc Agr Elia Bolela (Convênio Prefeitura Municipal)",True
CA de Conchas,CATI Regional de Botucatu,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Botucatu,"Endereço: Rua Coronel Virgílio F. de Queiroz, 248 - CEP: 18570-000",Município: Conchas,E-mail: ca.conchas@cati.sp.gov.br,Telefone: (14) 3845-1400,Responsável: Eng. Agr. Ricardo Henrique Casini Chiareli,Técnicos:,True
CA de Cordeirópolis,CATI Regional de Limeira,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Limeira,"Endereço: Av. Presidente Vargas, 663 - CEP: 13490-000",Município: Cordeirópolis,E-mail: ca.cordeiropolis@cati.sp.gov.br,Telefone: (19) 3546-1055,Responsável: Eng. Agr. Marcos Jonatan Amici Jorge,Técnicos: Tec. Agr. Jovail José Zaia (Convênio - Prefeitura Municipal) e Dimas Moisés Tocchio (Convênio - Prefeitura Municipal).,True
CA de Coroados,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Rua Princesa Izabel, 23 - CEP: 16260-000",Município: Coroados,E-mail: ca.coroados@cati.sp.gov.br,Telefone: (18) 3645-1131,Responsável: Eng. Agr. Matheus de Souza Carvalho (SAA),Técnicos:,True
CA de Coronel Macedo,CATI Regional de Avaré,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Avar%C3%A9,"Endereço: Rua Itaporanga, 215 - CEP: 18745-000",Município: Coronel Macedo,E-mail: edr.avare@cati.sp.gov.br / ca.celmacedo@cati.sp.gov.br,Telefone: (14) 3767-1188,Responsável: Eng. Agr. Eliseu Aires de Melo,"Técnicos: Med. Vet. Tiago Fagnani Machado (Convênio Prefeitura Municipal), Tecnico Agropecuario Eduardo Rutz ( Convenio Prefeitura )",True
CA de Corumbataí,CATI Regional de Limeira,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Limeira,"Endereço: Av. Três, 15 - CEP: 13540-000",Município: Corumbataí,E-mail: ca.corumbatai@cati.sp.gov.br,Telefone: (19) 3577-1290,Responsável: Eng. Agr. Marcos Jonatan Amici Jorge,Técnicos: Odimar Osvaldo Bertanha (Técnico de Apoio Agropecuário) e Jorgina Ferreira Rodrigues de Paula (Oficial de Apoio Agropecuário).,True
CA de Cosmópolis,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Rua Max Hegert, 1.052 - Jardim Bela Vista III - CEP: 13150-021",Município: Cosmópolis,E-mail: agricultura@cosmopolis.sp.gov.br,Telefone: (19) 3872-1605,Responsável: Eng. Agr. LUIZ ANTONIO DIAS DE SA,Técnicos: não há,True
CA de Cosmorama,CATI Regional de Votuporanga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Votuporanga,"Endereço: Av. Domingos Baggio, 966 - CEP: 15530-000",Município: Cosmorama,E-mail: ca.cosmorama@cati.sp.gov.br,Telefone: (17) 3836-1269,Responsável: Eng. Agr. Amauri Antonio de Mendonça,Técnicos: Eng. Agr. Fernando Nogueira Batagin (Convênio Prefeitura Municipal),True
Cotia,,,,,,,,,False
CA de Cravinhos,CATI Regional de Ribeirão Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ribeir%C3%A3o%20Preto,"Endereço: Av. Fagundes, 710 - CEP: 14140-000",Município: Cravinhos,E-mail: ca.cravinhos@cati.sp.gov.br,Telefone: (16) 3951-1201,Responsável: Eng. Agr. Carlos Henrique de Paula e Silva,Técnicos: Eng. Agr. Oswaldo da Cunha Maccheroni,True
CA de Cristais Paulista,CATI Regional de Franca,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Franca,"Endereço: Av. Antônio Prado, nº 2.347 - CEP: 14460-000",Município: Cristais Paulista,E-mail: ca.cristaispaulista@sp.gov.br,Telefone: (16) 3133-1124,"Responsável: MARCELO COELHO LOPES, veterinário",Técnicos: Med. Vet. Marcelo Coelho Lopes Téc. Agr. Douglas Antônio Pirai,True
CA de Cruzália,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Av. Otto Ribeiro, n.º 351 - CEP: 19860-000",Município: Cruzália,E-mail:,Telefone: (18) 3376-1176,Responsável: Eng. Agr. Ângelo Gabriele Maresciallo,Técnicos:,True
CA de Cruzeiro,CATI Regional de Guaratinguetá,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Guaratinguet%C3%A1,"Endereço: Rua Capitão Neco, 820 - CEP: 12700-000",Município: Cruzeiro,E-mail: ca.cruzeiro@cdrs.sp.gov.br,Telefone: (12) 3144-2076,Responsável: Zootecnista Paula dos Reis Inácio de Souza,Técnicos:,True
Cubatão,,,,,,,,,False
CA de Cunha,CATI Regional de Guaratinguetá,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Guaratinguet%C3%A1,"Endereço: Praça Midair José Teodoro, 101 - CEP: 12530-000",Município: Cunha,E-mail: ca.cunha@cdrs.sp.gov.br,Telefone: (12) 3111-1320,Responsável: Eng. Agr. Cesar Gonçalves Afonso Frizo,Técnicos: Eng. Agr. Priscilla Menezes de Souza,True
CA de Descalvado,CATI Regional de Araraquara,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Araraquara,"Endereço: Rua Coronel Manoel Leme, nº 85 - CEP: 13690-000",Município: Descalvado,E-mail: adriana.bueno@sp.gov.br / edr.araraquara@cati.sp.gov.br,Telefone: (19) 3583-1713,Responsável: Eng. Agr. Adriana Amaral de Oliveira Bueno,Técnicos:,True
Diadema,,,,,,,,,False
CA de Dirce Reis,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Rua Aparecido Madalosso,320 - CEP: 15715-000",Município: Dirce Reis,E-mail: ca.dircereis@cati.sp.gov.br,Telefone: (17) 3694-1166,Responsável: Eng. Agr. Paulo Roberto de Souza Carretero,Técnicos: Eng. Agr. Paulo Roberto de Souza Carretero (Convênio SAA/PM); Méd. Vet. Fernando Cesar Mioto (Convênio SAA/PM); Ionara Silvia Aguiar Jacinto (PM-Auxiliar Administrativo); Dercilia Molina Jurada Secafim (PM-Auxiliar de Serviços Gerais),True
CA de Divinolândia,CATI Regional de São João da Boa Vista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jo%C3%A3o%20da%20Boa%20Vista,"Endereço: Rua Romeu Zaneti, 375 - CEP: 13780-000",Município: Divinolândia,E-mail: ca.divinolandia@cati.sp.gov.br,Telefone: (19) 3663-1278,Responsável: Eng. Agr. Francisco Caetano de Paula Lima,"Técnicos: Eng. Agr. José Geraldo Depaoli (Convênio Prefeitura Municipal), Eng. Agr. Sheila Perin Sanches (Convênio Prefeitura Municipal), Eng. Agr. José Luis Zamai (Convênio Prefeitura Municipal), Eng. Agr. João Batista Vivarelli (Afastado/Eleição).",True
CA de Dobrada,CATI Regional de Jaboticabal,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jaboticabal,"Endereço: Av. Duque de Caxias, nº 64 - CEP: 15980-000",Município: Dobrada,E-mail: ca.taquaritinga@cati.sp.gov.br,Telefone: (16) 3286-1644 e (16) 3252-2525,Responsável: Eng. Agr. Oracy Schuindt Júnior,"Técnicos: Atendimento na Casa da Agricultura de Taquaritinga. Praça 1º de Maio, s/n",True
CA de Dois Córregos,CATI Regional de Jaú,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ja%C3%BA,"Endereço: Rua Treze de Maio, 1161 - CEP: 17300-000",Município: Dois Córregos,E-mail: ca.doiscorregos@cati.sp.gov.br,Telefone: (14) 3652-1341,Responsável: Engº Agrº Matheus Rodrigo Camili,Técnicos:,True
CA de Dolcinópolis,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Rua Atílio Gonçalves, 1369 - CEP: 15740-000",Município: Dolcinópolis,E-mail: ca.dolcinopolis@cati.sp.gov.br,Telefone: (17) 3636-1114,Responsável: Eng. Agr. Anderson Akhito Sato,Técnicos: Méd. Vet. Breno Padilha de Paiva (PM); Eng. Agr. Anderson Akhito Sato (PM),True
CA de Dourado,CATI Regional de Araraquara,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Araraquara,"Endereço: Rua Cel. Francisco Martins Bonilha, nº 671 - CEP: 13590-000",Município: Dourado,E-mail: edr.araraquara@cati.sp.gov.br,Telefone: (16) 3345-3207 /(16) 33220511,Responsável: Eng. Agr. Érica Ybarra Tannuri de Godoy,Técnicos:,True
CA de Dracena,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua Brasil, 978 - CEP: 17900-000",Município: Dracena,E-mail: ca.dracena@cati.sp.gov.br,Telefone: (18) 3821-3250,Responsável: Técnico Agropecuário Márcia Roberta Pereira de Freitas,Técnicos: Técnico Agropecuário Márcia Roberta Pereira de Freitas (Convênio Prefeitura Municipal),True
CA de Duartina,CATI Regional de Bauru,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bauru,"Endereço: Rua Sete de Setembro, 545 - Centro - CEP: 17470-000",Município: Duartina,E-mail: ca.duartina@cati.sp.gov.br / joao.pacheco@sp.gov.br,Telefone: (14) 3282-1294 / (14) 997936724,Responsável: Eng. Agr. João Pacheco de Almeida Prado,Técnicos:,True
Dumont,,,,,,,,,False
CA de Echaporã,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Av. da Saudade, n.º 65 - CEP: 19830-000",Município: Echaporã,E-mail: ca.echapora@cati.sp.gov.br,Telefone: (18) 3356-1291,Responsável: Eng. Agr. Mário Augusto Totti,Técnicos:,True
CA de Eldorado,CATI Regional de Registro,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Registro,"Endereço: Rua Major França, nº 21 - CEP: 11960-000",Município: Eldorado,E-mail: ca.eldorado@cdrs.sp.gov.br,Telefone: (13) 3871-1195,Responsável: Luzaoir Machado da Silva,"Técnicos: Engº Agrº Luzaoir Machado, Agente de Apoio Agropecuário Arnaldo Muniz",True
CA de Elias Fausto,CATI Regional de Campinas,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Campinas,"Endereço: RUA ÂNGELO CARNEVALLI, 303 - CENTRO - CEP: 13350-000",Município: Elias Fausto,E-mail: ca.eliasfausto@cati.sp.gov.br,Telefone: (19) 3821-1391,Responsável: Eng. Agr. Antonieta Aparecida Fiori,Técnicos:,True
CATI Regional de Catanduva,Casas da Agricultura,https://www.cati.sp.gov.br/portal/institucional/enderecos/cati-regional-de-catanduva,"Endereço: Rua Rade Gebara, 274. Centro - CEP: 15823-000",Município: Catanduva,E-mail: ca.elisiario@cati.sp.gov.br,Telefone: (17) 3529-1266,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos: Eng. Agr. Marcelo Renato Romera (Convênio Prefeitura Municipal).,True
CA de Embaúba,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,Endereço: Av. Antonio Celidonio Ruette - CEP: 15425-000,Município: Embaúba,E-mail:,Telefone: (17) 3566- 1323,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
Embu,,,,,,,,,False
CA de Embu-Guaçu,CATI Regional de Santos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Santos,"Endereço: Rua Emília Pires, 566. Centro - CEP: 06900-000",Município: Embu-Guaçu,E-mail:,Telefone: (11) 4661-1523,Responsável: Eng. Agr. Hemerson Fernandes Calgaro,Técnicos:,True
CA de Emilianópolis,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Rua Antônio E. Sato, 750 - CEP: 19350-000",Município: Emilianópolis,E-mail:,Telefone: (18) 3994-1112,Responsável: Eng. Agr. Marco Aurélio Fernandes,"Técnicos: Eng. Agr. João Batista Amaral(Convênio Prefeitura Municipal), Méd. Vet. Renata Cabral(Convênio Prefeitura Municipal), Biol. Adriano Gallego Martins (Convênio Prefeitura Municipal).",True
CA de Engenheiro Coelho,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Rua Abelardo Millares, 55 - Jardim São Pedro - CEP: 13445-292",Município: Engenheiro Coelho,E-mail: ca.engenheirocoelho@cati.sp.gov.br,Telefone: (19) 3857-9656,Responsável: Eng. Agr. LUIZ ANTONIO DIAS DE SA,Técnicos: Eng. Agr.Margarida das Dores Paes Delgado (Convênio Prefeitura Municipal).,True
CA de Espírito Santo do Pinhal,CATI Regional de São João da Boa Vista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jo%C3%A3o%20da%20Boa%20Vista,"Endereço: Av. Nove de Julho, s/n - CEP: 13990-000",Município: Espírito Santo do Pinhal,E-mail: ca.espinhal@cati.sp.gov.br,Telefone: (19) 3651-1673,Responsável: Eng. Agr. Francisco Caetano de Paula Lima,Técnicos: Méd. Vet. Georgiana Sávia Brito Aires (Convênio Prefeitura Municipal). Méd. Vet. Tatiana de Oliveira e Silva (Convênio Prefeitura Municipal).,True
Espírito Santo do Turvo,,,,,,,,,False
CA de Estiva Gerbi,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Av. Mário Zara, 20 - Centro - CEP: 13857000",Município: Estiva Gerbi,E-mail: ca.estivagerbi@cati.sp.gov.br,Telefone: (19) 3868-9203,Responsável: Eng. Agr. JOSE LUIZ BONATTI,Técnicos: Eng. Agr. Antonio Eugenio Madruga (Convênio Prefeitura Municipal),True
CA de Estrela d'Oeste,CATI Regional de Fernandópolis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Fernand%C3%B3polis,"Endereço: Av. São Paulo,440 - CEP: 15650-000",Município: Estrela d'Oeste,E-mail: ca.estrela@cati.sp.gov.br,Telefone: (17) 3833-1388,Responsável: Engª Agrª Monalisa Vergínia Felicio Ferreira,Técnicos: Eng.ª Agr.ª Monalisa Verginia Felicio Ferreira; Deise Maria Dias Prato; Thais Cristina Francisco.,True
CA de Estrela do Norte,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Rua João Marinho, nº 445 - CEP: 19230-000",Município: Estrela do Norte,E-mail:,Telefone: (18) 3999-1177,Responsável: Eng. Agr. Marco Aurélio Fernandes,Técnicos: Méd. Vet. Ivone Ribeiro de Lima (Convênio Prefeitura Municipal).,True
CA de Euclides da Cunha Paulista,CATI Regional de Presidente Venceslau,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Venceslau,"Endereço: Av. Antonio Joaquim Mano, 2 - CEP: 19275-000",Município: Euclides da Cunha Paulista,E-mail: ca.euclidesdacunhapaulista@cati.sp.gov.br,Telefone: (18) 3283-1123,Responsável: Méd. Vet. Felipe Melhado,Técnicos: Eng. Agr. George Nelson Rodrigues Pereira (Convênio Prefeitura Municipal),True
CA de Fartura,CATI Regional de Ourinhos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ourinhos,"Endereço: Rua Belgrave Teixeira de Carvalho, 290 - CEP: 18870-000",Município: Fartura,E-mail: ca.fartura@cati.sp.gov.br,Telefone: (14) 3382-1163,Responsável: Eng. Agr. Sérgio Luis Villas Boas Tambara,"Técnicos: Zootec. José Antonio Mercadante Sela (Convênio Prefeitura Municipal),Med. Vet. Ricardo Garbelotto (Convênio Prefeitura Municipal)",True
CA de Fernando Prestes,CATI Regional de Jaboticabal,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jaboticabal,"Endereço: Av. Stélio M. Loureiro, nº 153 - CEP: 15940-000",Município: Fernando Prestes,E-mail: ca.fernandoprestes@cati.sp.gov.br,Telefone: (16) 3258-1107,Responsável: Engª. Agrª. Vera Lúcia Palla,Técnicos:,True
CA de Fernandópolis,CATI Regional de Fernandópolis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Fernand%C3%B3polis,"Endereço: Av. dos Arnaldos,1.015, centro - CEP: 15600-028",Município: Fernandópolis,E-mail: ca.fernandopolis@cati.sp.gov.br,Telefone: (17) 3442-1411,Responsável: Eng.° Agr.º JOSÉ SABINO JÚNIOR,Técnicos: Eng.º Agr.º José Sabino Junior,True
CA de Fernão,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua José Bonifácio, 128 - CEP: 17455-000",Município: Fernão,E-mail: ca.fernao@cati.sp.gov.br,Telefone: (14) 3273-1033,Responsável: Engº Agrº Lucas Marega Marques,Técnicos: Méd. Vet. Eber Rogerio Assis (Convênio Prefeitura Municipal),True
Ferraz de Vasconcelos,,,,,,,,,False
CA de Flora Rica,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Av. Dr. João Veloso, 24. Terminal Rodoviário. - CEP: 17870-000",Município: Flora Rica,E-mail: ca.florarica@cati.sp.gov.br,Telefone: (18) 3866-1139,Responsável: Eng. Agr. Márcio Mikio Miura,Técnicos: Eng. Agr. Márcio Mikio Miura (Convênio Prefeitura Municipal); Escrit. Luciana Tamos dos Santos Miranda (Convênio Prefeitura Municipal),True
CA de Floreal,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Sebastião Messias Feliciano, 480 - CEP: 15320-000",Município: Floreal,E-mail: ca.floreal@cati.sp.gov.br,Telefone: (17) 3847-1280,Responsável: Méd. Vet. Jean José de Grande,Técnicos: Eng. Agr. Edmar Roberto Bellati Batello (Convênio SAA/PM). Méd. Vet. Jean José de Grande (Convênio SAA/PM).,True
CA de Flórida Paulista,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Av. José Froio, 430 - CEP: 17830-000",Município: Flórida Paulista,E-mail: ca.floridapaulista@cati.sp.gov.br,Telefone: (18) 3581-1297,Responsável: Eng. Agr. Rafael Giroto,Técnicos: Eng. Agr. Rafael Giroto; Eng. Agr. Cléber Ricardo da Cruz Oliveira (Convênio Prefeitura Municipal),True
CA de Florínia,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Rua Francisco Nunes de Souza, n.º 646 - CEP: 19870-000",Município: Florínea,E-mail: ca.florinea@cati.sp.gov.br,Telefone: (18) 3377-1128,Responsável: Eng. Agr. Marcelo Marcos Volpini de Souza,Técnicos:,True
CA de Franca,CATI Regional de Franca,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Franca,"Endereço: Rua CapitãoZeca de Paula, nº 883 - CEP: 14400-160",Município: Franca,E-mail: ca.franca@sp.gov.br,Telefone: (16) 3722-3376,"Responsável: NEWTON ROBERTO RODRIGUES, Eng. Agrônomo",Técnicos: Oficial de Apoio Agropecuário Claudinéia Aparecida do Nascimento,True
Francisco Morato,,,,,,,,,False
CA de Franco da Rocha,CATI Regional de Santos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Santos,"Endereço: Rua João Rais, 113 - CEP: 07802-030",Município: Franco da Rocha,E-mail: ca.francodarocha@cati.sp.gov.br,Telefone: (11) 4800-5106,Responsável: Eng. Agr. Hemerson Fernandes Calgaro,Técnicos:,True
CA de Gabriel Monteiro,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Av. Nova Olímpia, 123 - CEP: 16220-000",Município: Gabriel Monteiro,E-mail: ca.gabrielmonteiro@cati.sp.gov.br,Telefone: (18) 3602-1208,Responsável: Eng. Agr. Maria Venina Barbosa Loli (SAA),Técnicos: Méd. Vet. Bruno Henrique Vidoto Cervante (Convênio Prefeitura Municipal/SAA) Eng. Agr. Rodrigo Kazuyoshi Takanashi(Convênio Prefeitura Municipal/SAA),True
CA de Gália,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua João Otonicar, nº 280 - CEP: 17450-000",Município: Gália,E-mail: ca.galia@cati.sp.gov.br,Telefone: (14) 3274-1278,Responsável: Eng. Agr. Fábio Reis Greatti,Técnicos: Eng. Agr. Fábio Reis Greatti (Convênio Prefeitura Municipal) Tec. Agr. Fernando Pereira da Silva (Convênio Prefeitura Municipal),True
CA de Garça,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua Sargento Wilson Abel de Oliveira,583 - CEP: 17400-000",Município: Garça,E-mail: ca.garca@cati.sp.gov.br,Telefone: (14) 3471-0323,Responsável: Engº Agrº Walter Hipólito da Silva,Técnicos: Eng. Agr. Marcos Masahiko Kakudate (Convênio Prefeitura Municipal).,True
CA de Gastão Vidigal,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Luiz Marquezi, 501, Centro - CEP: 15330-000",Município: Gastão Vidigal,E-mail: ca.gastaovidigal@cati.sp.gov.br,Telefone: (17) 3848-1122,Responsável: Engª. Agrª Angelita Maria Vertuan Bassan,Técnicos: Méd. Vet. Pablo Milaré dos Santos Mas (Convênio SAA/PM). Engª. Agrª Angelita Maria Vertuan Bassan (Convênio SAA/PM).,True
Gavião Peixoto,,,,,,,,,False
CA de General Salgado,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Av. João Garcia, 1264, Centro - CEP: 15300-000",Município: General Salgado,E-mail: ca.generalsalgado@cati.sp.gov.br,Telefone: (17) 3832-2031,Responsável: Méd. Vet. Wirley Marques,Técnicos: Méd. Vet. Bruno Cardoso Fantini (Convênio SAA/PM); Méd. Vet. Wirley Marques (Convênio SAA/PM).,True
CA de Getulina,CATI Regional de Lins,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Lins,"Endereço: Rua Rodrigues Alves, nº 456, Centro - CEP: 16450-000",Município: Getulina,E-mail: livia.torres@cati.sp.gov.br,Telefone: (14) 3552-1010,Responsável: Engª Agrª Lívia Maria Torres,Técnicos: Carlos Roberto Correa Élio Kataniwa (Prefeitura Municipal),True
CA de Glicério,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Rua Prefeito Fuad Eid, 319 - CEP: 16270-000",Município: Glicério,E-mail: ca.glicerio@cati.sp.gov.br,Telefone: (18) 3647-1214,Responsável: Méd. Vet. Maurício Cândido de Macedo (Convênio Prefeitura Municipal/SAA),Técnicos: Méd. Vet. Maurício Cândido de Macedo (Convênio Prefeitura Municipal/SAA),True
